Periodname,Provider Parent org code,Provider Parent name,Provider Org code,Provider Org name,Commissioner Parent Org Code,Commissioner Org Name,Commissioner Org Code,Ip Elect Ord,Ip Elect Day,Ip Elect Total,Ip Elecord Planned,Ip Elecday Planned,Ip Electotal Planned,Ip Elect Total Tc,Ip Nonelect,Op Gprefsmade M,Op Gprefsseen M,Op Gprefsmade Ga M,Op Gprefsseen Ga M,Op Otherrefsmade Ga M,Op 1statt Ga M
MAR-April-2020,,,7A1,BETSI CADWALADR UNIVERSITY LHB,QYG,NHS WARRINGTON CCG,02E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR-April-2020,,,7A1,BETSI CADWALADR UNIVERSITY LHB,QYG,NHS WIRRAL CCG,12F,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAR-April-2020,,,7A1,BETSI CADWALADR UNIVERSITY LHB,QYG,NHS CHESHIRE CCG,27D,1,5,6,0,4,4,0,1,4,3,3,2,0,4
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,,NHS ENGLAND,X24,0,0,0,0,0,0,0,0,4,0,4,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QE1,NHS BLACKPOOL CCG,00R,0,2,2,0,0,0,0,0,206,2,206,2,0,2
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QE1,NHS CHORLEY AND SOUTH RIBBLE CCG,00X,0,0,0,0,0,0,0,0,2,0,2,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QE1,NHS GREATER PRESTON CCG,01E,0,0,0,0,0,0,0,0,4,0,4,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QE1,NHS MORECAMBE BAY CCG,01K,0,0,0,0,0,0,0,0,4,1,4,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QE1,NHS FYLDE AND WYRE CCG,02M,1,1,2,0,0,0,0,0,147,4,147,4,0,4
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QOP,NHS MANCHESTER CCG,14L,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QWO,NHS BRADFORD DISTRICT AND CRAVEN CCG,36J,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QYG,NHS SOUTH SEFTON CCG,01T,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT347,SPIRE FYLDE COAST HOSPITAL,QYG,NHS SOUTHPORT AND FORMBY CCG,01V,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT403,BMI - THE BEARDWOOD HOSPITAL,QE1,NHS BLACKBURN WITH DARWEN CCG,00Q,0,0,0,0,0,0,0,0,61,4,61,4,27,5
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT403,BMI - THE BEARDWOOD HOSPITAL,QE1,NHS CHORLEY AND SOUTH RIBBLE CCG,00X,0,0,0,0,0,0,0,0,7,0,7,0,1,1
