"group";"year";"week";"value"
"Total";2019;0;0
"Total";2019;1;4031
"Total";2019;2;6795
"Total";2019;3;6591
"Total";2019;4;7066
"Total";2019;5;7820
"Total";2019;6;8049
"Total";2019;7;6585
"Total";2019;8;5589
"Total";2019;9;5485
"Total";2019;10;3613
"Total";2019;11;2296
"Total";2019;12;-163
"Total";2019;13;-826
"Total";2019;14;704
"Total";2019;15;-749
"Total";2019;16;893
"Total";2019;17;720
"Total";2019;18;-631
"Total";2019;19;34
"Total";2019;20;488
"Total";2019;21;506
"Total";2019;22;246
"Total";2019;23;1000
"Total";2019;24;551
"Total";2019;25;990
"Total";2019;26;3691
"Total";2019;27;2437
"Total";2019;28;669
"Total";2019;29;975
"Total";2019;30;7302
"Total";2019;31;1179
"Total";2019;32;753
"Total";2019;33;-752
"Total";2019;34;174
"Total";2019;35;2361
"Total";2019;36;-1487
"Total";2019;37;-715
"Total";2019;38;-246
"Total";2019;39;874
"Total";2019;40;32
"Total";2019;41;1465
"Total";2019;42;800
"Total";2019;43;418
"Total";2019;44;295
"Total";2019;45;576
"Total";2019;46;1455
"Total";2019;47;1658
"Total";2019;48;976
"Total";2019;49;1631
"Total";2019;50;2292
"Total";2019;51;3309
"Total";2019;52;792
"Total";2020;0;0
"Total";2020;1;3284
"Total";2020;2;5382
"Total";2020;3;3597
"Total";2020;4;2276
"Total";2020;5;4258
"Total";2020;6;1484
"Total";2020;7;2088
"Total";2020;8;-487
"Total";2020;9;1032
"Total";2020;10;1895
"Total";2020;11;4291
"Total";2020;12;11751
"Total";2020;13;25117
"Total";2020;14;37554
"Total";2020;15;36079
"Total";2020;16;25680
"Total";2020;17;16348
"Total";2020;18;8900
"Total";2020;19;5822
"Total";2020;20;1942
"Total";2020;21;2197
"Total";2020;22;16
"Total";2020;23;124
"Total";2020;24;-718
"Total";2020;25;-741
"Total";2020;26;2387
"Total";2020;27;351
"Total";2020;28;-79
"Total";2020;29;1139
"Total";2020;30;1894
"Total";2020;31;4518
"Total";2020;32;3822
"Total";2020;33;8929
"Total";2020;34;2777
"Total";2020;35;842
"Total";2020;36;1099
"Total";2020;37;2578
"Total";2020;38;3722
"Total";2020;39;1924
"Total";2020;40;3641
"Total";2020;41;3510
"Total";2020;42;4526
"Total";2020;43;9635
"Total";2020;44;12531
"Total";2020;45;15210
"Total";2020;46;16672
"Total";2020;47;15824
"Total";2020;48;15997
"Total";2020;49;17351
"Total";2020;50;18542
"Total";2020;51;18140
"Total";2020;52;18083
"Total";2021;0;0
"Total";2021;1;21925
"Total";2021;2;25025
"Total";2021;3;26794
"Total";2021;4;21914
"Total";2021;5;15203
"Total";2021;6;10466
"Total";2021;7;7955
"Total";2021;8;2589
"Total";2021;9;381
"Total";2021;10;1663
"Total";2021;11;1535
"Total";2021;12;1983
"Total";2021;13;3279
"Total";2021;14;3444
"Total";2021;15;3526
"Total";2021;16;4074
"Total";2021;17;3607
"Total";2021;18;4028
"Total";2021;19;1640
"Total";2021;20;507
"Total";2021;21;-79
"Total";2021;22;1401
"Total";2021;23;579
"Total";2021;24;2879
"Total";2021;25;1171
"Total";2021;26;2334
"Total";2021;27;2441
"Total";2021;28;3498
"Total";2021;29;5992
"Total";2021;30;4887
"Total";2021;31;5881
"Total";2021;32;7099
"Total";2021;33;6071
"Total";2021;34;4521
"Total";2021;35;4981
"Total";2021;36;7786
"Total";2021;37;4250
"Total";2021;38;3234
"Total";2021;39;3687
"Total";2021;40;3521
"Total";2021;41;4881
"Total";2021;42;5925
"Total";2021;43;7249
"Total";2021;44;6640
"Total";2021;45;9102
"Total";2021;46;9051
"Total";2021;47;8493
"Total";2021;48;4132
"0to14";2019;0;0
